DEPARTAMENTO,DISTRITO,POBLACION
AYACUCHO,CHILCAYOC,549
AYACUCHO,HUACAÑA,367
AYACUCHO,MORCOLLA,1244
AYACUCHO,PAICO,603
AYACUCHO,SAN PEDRO DE LARCAY,768
AYACUCHO,SAN SALVADOR DE QUIJE,1135
AYACUCHO,SANTIAGO DE PAUCARAY,622
AYACUCHO,SORAS,799
AYACUCHO,HUANCAPI,1777
AYACUCHO,ALCAMENCA,1704
AYACUCHO,APONGO,770
AYACUCHO,ASQUIPATA,430
AYACUCHO,CANARIA,2570
AYACUCHO,CAYARA,1139
AYACUCHO,COLCA,1198
AYACUCHO,HUAMANQUIQUIA,1006
AYACUCHO,HUANCARAYLLA,1613
AYACUCHO,HUAYA,1994
AYACUCHO,SARHUA,2676
AYACUCHO,VILCANCHOS,2689
AYACUCHO,VILCAS HUAMAN,6412
AYACUCHO,ACCOMARCA,1211
AYACUCHO,CARHUANCA,822
AYACUCHO,CONCEPCION,2289
AYACUCHO,HUAMBALPA,1747
AYACUCHO,INDEPENDENCIA,1331
AYACUCHO,SAURAMA,1141
AYACUCHO,VISCHONGO,3780
HUANCAVELICA,HUANCAVELICA,35341
HUANCAVELICA,ACOBAMBILLA,2258
HUANCAVELICA,ACORIA,20378
HUANCAVELICA,CONAYCA,838
HUANCAVELICA,CUENCA,1816
HUANCAVELICA,HUACHOCOLPA,2103
HUANCAVELICA,HUAYLLAHUARA,688
HUANCAVELICA,IZCUCHACA,1041
HUANCAVELICA,LARIA,853
HUANCAVELICA,MANTA,887
HUANCAVELICA,MARISCAL CACERES,904
HUANCAVELICA,MOYA,1158
HUANCAVELICA,NUEVO OCCORO,1846
HUANCAVELICA,PALCA,2661
HUANCAVELICA,PILCHACA,659
HUANCAVELICA,VILCA,2092
HUANCAVELICA,YAULI,20402
HUANCAVELICA,ASCENCION,10350
HUANCAVELICA,ACOBAMBA,8706
HUANCAVELICA,ANDABAMBA,3411
HUANCAVELICA,ANTA,5582
HUANCAVELICA,CAJA,2129
HUANCAVELICA,MARCAS,1951
HUANCAVELICA,PAUCARA,10352
HUANCAVELICA,POMACOCHA,2945
HUANCAVELICA,ROSARIO,5202
HUANCAVELICA,LIRCAY,22111
HUANCAVELICA,ANCHONGA,6911
HUANCAVELICA,CALLANMARCA,744
HUANCAVELICA,CCOCHACCASA,3130
HUANCAVELICA,CHINCHO,1102
HUANCAVELICA,CONGALLA,3769
HUANCAVELICA,HUANCA-HUANCA,1398
HUANCAVELICA,HUAYLLAY GRANDE,1230
HUANCAVELICA,JULCAMARCA,1048
HUANCAVELICA,SAN ANTONIO DE ANTAPARCO,931
HUANCAVELICA,SANTO TOMAS DE PATA,1272
HUANCAVELICA,SECCLLA,2570
HUANCAVELICA,CASTROVIRREYNA,3014
HUANCAVELICA,ARMA,1440
HUANCAVELICA,AURAHUA,1732
HUANCAVELICA,CAPILLAS,1332
HUANCAVELICA,CHUPAMARCA,1027
HUANCAVELICA,COCAS,914
HUANCAVELICA,HUACHOS,1624
HUANCAVELICA,HUAMATAMBO,594
HUANCAVELICA,MOLLEPAMPA,1157
HUANCAVELICA,SAN JUAN,808
HUANCAVELICA,SANTA ANA,1247
HUANCAVELICA,TANTARA,790
HUANCAVELICA,TICRAPO,1630
HUANCAVELICA,CHURCAMPA,4851
HUANCAVELICA,ANCO,5424
HUANCAVELICA,CHINCHIHUASI,2338
HUANCAVELICA,EL CARMEN,2447
HUANCAVELICA,LA MERCED,693
HUANCAVELICA,LOCROJA,3680
HUANCAVELICA,PACHAMARCA,2294
HUANCAVELICA,PAUCARBAMBA,4852
HUANCAVELICA,SAN MIGUEL DE MAYOCC,804
HUANCAVELICA,SAN PEDRO DE CORIS,2728
HUANCAVELICA,HUAYTARA,1894
HUANCAVELICA,AYAVI,796
HUANCAVELICA,CORDOVA,1318
HUANCAVELICA,HUAYACUNDO ARMA,433
HUANCAVELICA,LARAMARCA,597
HUANCAVELICA,OCOYO,1069
HUANCAVELICA,PILPICHACA,4121
HUANCAVELICA,QUERCO,844
HUANCAVELICA,QUITO-ARMA,807
HUANCAVELICA,SAN ANTONIO DE CUSICANCHA,1569
HUANCAVELICA,SAN FRANCISCO DE SANGAYAICO,1241
HUANCAVELICA,SAN ISIDRO,719
HUANCAVELICA,SANTIAGO DE CHOCORVOS,720
HUANCAVELICA,SANTIAGO DE QUIRAHUARA,2621
HUANCAVELICA,SANTO DOMINGO DE CAPILLAS,1059
HUANCAVELICA,TAMBO,955
HUANCAVELICA,PAMPAS,8519
HUANCAVELICA,ACOSTAMBO,3925
HUANCAVELICA,ACRAQUIA,4118
HUANCAVELICA,AHUAYCHA,4338
HUANCAVELICA,COLCABAMBA,12585
HUANCAVELICA,DANIEL HERNANDEZ,9080
HUANCAVELICA,HUACHOCOLPA,2980
HUANCAVELICA,ROBLE,1078
HUANCAVELICA,HUARIBAMBA,4262
HUANCAVELICA,ÑAHUIMPUQUIO,1602
HUANCAVELICA,PAZOS,5845
HUANCAVELICA,QUISHUAR,759
HUANCAVELICA,SALCABAMBA,4160
HUANCAVELICA,SALCAHUASI,3091
HUANCAVELICA,SAN MARCOS DE ROCCHAC,2639
HUANCAVELICA,SURCUBAMBA,4651
HUANCAVELICA,TINTAY PUNCU,2664
HUANUCO,HUANUCO,77336
HUANUCO,AMARILIS,71157
HUANUCO,CHINCHAO,15587
HUANUCO,CHURUBAMBA,17886
HUANUCO,MARGOS,6420
HUANUCO,QUISQUI,5274
HUANUCO,SAN FRANCISCO DE CAYRAN,5006
HUANUCO,SAN PEDRO DE CHAULAN,3832
HUANUCO,SANTA MARIA DEL VALLE,20388
HUANUCO,YARUMAYO,2694
HUANUCO,PILLCO MARCA,27827
HUANUCO,AMBO,16204
HUANUCO,CAYNA,3310
HUANUCO,COLPAS,2556
HUANUCO,CONCHAMARCA,5433
HUANUCO,HUACAR,7617
HUANUCO,SAN FRANCISCO,2175
HUANUCO,SAN RAFAEL,9511
HUANUCO,TOMAY KICHWA,3711
HUANUCO,LA UNION,4498
HUANUCO,CHUQUIS,3806
HUANUCO,MARIAS,5623
HUANUCO,PACHAS,6064
HUANUCO,QUIVILLA,1101
HUANUCO,RIPAN,5413
HUANUCO,SHUNQUI,2006
HUANUCO,SILLAPATA,3119
HUANUCO,YANAS,2662
HUANUCO,HUACAYBAMBA,5224
HUANUCO,CANCHABAMBA,2767
HUANUCO,COCHABAMBA,1555
HUANUCO,PINRA,6003
HUANUCO,LLATA,11649
HUANUCO,ARANCAY,1827
HUANUCO,CHAVIN DE PARIARCA,3755
HUANUCO,JACAS GRANDE,5934
HUANUCO,JIRCAN,1555
HUANUCO,MIRAFLORES,3199
HUANUCO,MONZON,12797
HUANUCO,PUNCHAO,1973
HUANUCO,PUÑOS,4606
HUANUCO,SINGA,3070
HUANUCO,TANTAMAYO,2074
HUANUCO,RUPA-RUPA,51633
HUANUCO,DANIEL ALOMIA ROBLES,7057
HUANUCO,HERMILIO VALDIZAN,3941
HUANUCO,JOSE CRESPO Y CASTILLO,22329
HUANUCO,LUYANDO,8844
HUANUCO,MARIANO DAMASO BERAUN,11428
HUANUCO,HUACRACHUCO,12908
HUANUCO,CHOLON,5797
HUANUCO,SAN BUENAVENTURA,2289
HUANUCO,PANAO,18174
HUANUCO,CHAGLLA,9828
HUANUCO,MOLINO,11407
HUANUCO,UMARI,10613
HUANUCO,PUERTO INCA,11039
HUANUCO,CODO DEL POZUZO,6578
HUANUCO,HONORIA,5639
HUANUCO,TOURNAVISTA,5186
HUANUCO,YUYAPICHIS,5355
HUANUCO,JESUS,4331
HUANUCO,BAÑOS,2763
HUANUCO,JIVIA,1855
HUANUCO,QUEROPALCA,753
HUANUCO,RONDOS,4893
HUANUCO,SAN FRANCISCO DE ASIS,2290
HUANUCO,SAN MIGUEL DE CAURI,4883
HUANUCO,CHAVINILLO,6261
HUANUCO,CAHUAC,2262
HUANUCO,CHACABAMBA,2498
HUANUCO,APARICIO POMARES,6196
HUANUCO,JACAS CHICO,2347
HUANUCO,OBAS,5395
HUANUCO,PAMPAMARCA,1831
HUANUCO,LA MORADA,2502
